Citi_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
329,Clyde River,CA,70.4692,-68.5914,-3.77,84,100,12.66,overcast clouds
330,Palmares Do Sul,BR,-30.2578,-50.5097,64.87,84,43,8.08,scattered clouds
331,Pochutla,MX,15.7432,-96.4661,76.82,88,65,3.94,light rain
332,Kahului,US,20.8947,-156.47,86.02,69,40,9.22,scattered clouds
333,Berlevag,NO,70.8578,29.0864,37.35,81,100,4.61,overcast clouds
334,Alta Floresta,BR,-9.8756,-56.0861,70.48,96,58,2.91,broken clouds
335,Batticaloa,LK,7.7102,81.6924,76.21,78,100,11.32,overcast clouds
336,Tete,MZ,-16.1564,33.5867,72.93,58,0,4.72,clear sky
337,Lafia,NG,8.4833,8.5167,72.63,48,61,1.25,broken clouds
338,Thinadhoo,MV,0.5333,72.9333,81.68,72,21,15.28,few clouds
339,Panaba,MX,21.2833,-88.2667,73.98,87,45,10.25,light rain
340,Asau,RO,46.4333,26.4,41.54,91,95,3.65,overcast clouds
341,Yumen,CN,40.2833,97.2,38.59,28,0,20.4,clear sky
342,Chusovoy,RU,58.3013,57.8131,5.45,94,8,1.9,clear sky
343,Kawambwa,ZM,-9.7915,29.0791,60.89,93,16,2.68,few clouds
344,Bubaque,GW,11.2833,-15.8333,83.07,74,99,9.64,overcast clouds
